DATE,PATHWAYS_COUNT,PATHWAY
2006-01-01,384,Center
2006-01-01,79,East
2006-01-01,110,Far West
2006-01-01,312,West
2006-01-02,446,Center
2006-01-02,135,East
2006-01-02,133,Far West
2006-01-02,148,West
2006-01-03,549,Center
2006-01-03,0,East
2006-01-03,363,Far West
2006-01-03,44,West
2006-01-04,102,Center
2006-01-04,611,East
2006-01-04,240,Far West
2006-01-04,115,West
2006-01-05,393,Center
2006-01-05,257,East
2006-01-05,86,Far West
2006-01-05,120,West
2006-01-06,266,Center
2006-01-06,210,East
2006-01-06,443,Far West
2006-01-06,3,West
2006-01-07,180,Center
2006-01-07,40,East
2006-01-07,76,Far West
2006-01-07,681,West
2006-01-08,272,Center
2006-01-08,137,East
2006-01-08,289,Far West
2006-01-08,273,West
2006-01-09,517,Center
2006-01-09,308,East
2006-01-09,52,Far West
2006-01-09,135,West
2006-01-10,41,Center
2006-01-10,732,East
2006-01-10,57,Far West
2006-01-10,115,West
2006-01-11,16,Center
2006-01-11,7,East
2006-01-11,750,Far West
2006-01-11,200,West
2006-01-12,272,Center
2006-01-12,416,East
2006-01-12,123,Far West
2006-01-12,53,West
2006-01-13,203,Center
2006-01-13,47,East
2006-01-13,488,Far West
2006-01-13,261,West
2006-01-14,46,Center
2006-01-14,182,East
2006-01-14,584,Far West
2006-01-14,81,West
2006-01-15,55,Center
2006-01-15,530,East
2006-01-15,180,Far West
2006-01-15,68,West
2006-01-16,284,Center
2006-01-16,17,East
2006-01-16,370,Far West
2006-01-16,188,West
2006-01-17,154,Center
2006-01-17,77,East
2006-01-17,520,Far West
2006-01-17,248,West
2006-01-18,513,Center
2006-01-18,22,East
2006-01-18,44,Far West
2006-01-18,497,West
2006-01-19,524,Center
2006-01-19,136,East
2006-01-19,115,Far West
2006-01-19,117,West
2006-01-20,28,Center
2006-01-20,136,East
2006-01-20,177,Far West
2006-01-20,585,West
2006-01-21,13,Center
2006-01-21,424,East
2006-01-21,559,Far West
2006-01-21,90,West
2006-01-22,242,Center
2006-01-22,255,East
2006-01-22,523,Far West
2006-01-22,1,West
2006-01-23,404,Center
2006-01-23,6,East
2006-01-23,114,Far West
2006-01-23,515,West
2006-01-24,303,Center
2006-01-24,29,East
2006-01-24,362,Far West
2006-01-24,117,West
2006-01-25,44,Center
2006-01-25,180,East
2006-01-25,710,Far West
2006-01-25,32,West
2006-01-26,10,Center
2006-01-26,376,East
2006-01-26,480,Far West
2006-01-26,86,West
2006-01-27,257,Center
2006-01-27,331,East
2006-01-27,270,Far West
2006-01-27,128,West
2006-01-28,5,Center
2006-01-28,20,East
2006-01-28,723,Far West
2006-01-28,224,West
2006-01-29,99,Center
2006-01-29,16,East
2006-01-29,34,Far West
2006-01-29,663,West
2006-01-30,121,Center
2006-01-30,178,East
2006-01-30,82,Far West
2006-01-30,521,West
2006-01-31,268,Center
2006-01-31,69,East
2006-01-31,487,Far West
2006-01-31,145,West
2006-02-01,68,Center
2006-02-01,235,East
2006-02-01,609,Far West
2006-02-01,18,West
2006-02-02,682,Center
2006-02-02,46,East
2006-02-02,118,Far West
2006-02-02,167,West
2006-02-03,185,Center
2006-02-03,129,East
2006-02-03,370,Far West
2006-02-03,258,West
2006-02-04,460,Center
2006-02-04,159,East
2006-02-04,201,Far West
2006-02-04,46,West
2006-02-05,119,Center
2006-02-05,55,East
2006-02-05,121,Far West
2006-02-05,280,West
2006-02-06,7,Center
2006-02-06,446,East
2006-02-06,180,Far West
2006-02-06,169,West
2006-02-07,244,Center
2006-02-07,131,East
2006-02-07,453,Far West
2006-02-07,59,West
2006-02-08,211,Center
2006-02-08,587,East
2006-02-08,160,Far West
2006-02-08,28,West
2006-02-09,508,Center
2006-02-09,67,East
2006-02-09,101,Far West
2006-02-09,103,West
2006-02-10,547,Center
2006-02-10,36,East
2006-02-10,264,Far West
2006-02-10,197,West
2006-02-11,341,Center
2006-02-11,67,East
2006-02-11,254,Far West
2006-02-11,245,West
2006-02-12,594,Center
2006-02-12,92,East
2006-02-12,34,Far West
2006-02-12,251,West
2006-02-13,384,Center
2006-02-13,115,East
2006-02-13,413,Far West
2006-02-13,12,West
2006-02-14,177,Center
2006-02-14,447,East
2006-02-14,12,Far West
2006-02-14,142,West
2006-02-15,68,Center
2006-02-15,505,East
2006-02-15,238,Far West
2006-02-15,259,West
2006-02-16,209,Center
2006-02-16,97,East
2006-02-16,742,Far West
2006-02-16,133,West
2006-02-17,217,Center
2006-02-17,54,East
2006-02-17,470,Far West
2006-02-17,235,West
2006-02-18,159,Center
2006-02-18,508,East
2006-02-18,332,Far West
2006-02-18,63,West
2006-02-19,269,Center
2006-02-19,54,East
2006-02-19,9,Far West
2006-02-19,721,West
2006-02-20,155,Center
2006-02-20,70,East
2006-02-20,493,Far West
2006-02-20,208,West
2006-02-21,237,Center
2006-02-21,276,East
2006-02-21,117,Far West
2006-02-21,288,West
2006-02-22,689,Center
2006-02-22,226,East
2006-02-22,79,Far West
2006-02-22,95,West
2006-02-23,359,Center
2006-02-23,88,East
2006-02-23,412,Far West
2006-02-23,125,West
2006-02-24,123,Center
2006-02-24,586,East
2006-02-24,8,Far West
2006-02-24,206,West
2006-02-25,116,Center
2006-02-25,457,East
2006-02-25,204,Far West
2006-02-25,151,West
2006-02-26,5,Center
2006-02-26,666,East
2006-02-26,40,Far West
2006-02-26,367,West
2006-02-27,137,Center
2006-02-27,494,East
2006-02-27,194,Far West
2006-02-27,99,West
2006-02-28,47,Center
2006-02-28,102,East
2006-02-28,54,Far West
2006-02-28,765,West
2006-03-01,32,Center
2006-03-01,63,East
2006-03-01,189,Far West
2006-03-01,606,West
2006-03-02,36,Center
2006-03-02,170,East
2006-03-02,376,Far West
2006-03-02,408,West
2006-03-03,536,Center
2006-03-03,179,East
2006-03-03,68,Far West
2006-03-03,307,West
2006-03-04,180,Center
2006-03-04,174,East
2006-03-04,509,Far West
2006-03-04,197,West
2006-03-05,66,Center
2006-03-05,14,East
2006-03-05,80,Far West
2006-03-05,858,West
2006-03-06,58,Center
2006-03-06,506,East
2006-03-06,286,Far West
2006-03-06,215,West
2006-03-07,145,Center
2006-03-07,410,East
2006-03-07,115,Far West
2006-03-07,144,West
2006-03-08,331,Center
2006-03-08,120,East
2006-03-08,347,Far West
2006-03-08,131,West
2006-03-09,464,Center
2006-03-09,76,East
2006-03-09,330,Far West
2006-03-09,74,West
2006-03-10,183,Center
2006-03-10,224,East
2006-03-10,267,Far West
2006-03-10,311,West
2006-03-11,484,Center
2006-03-11,210,East
2006-03-11,21,Far West
2006-03-11,162,West
2006-03-12,601,Center
2006-03-12,68,East
2006-03-12,174,Far West
2006-03-12,125,West
2006-03-13,236,Center
2006-03-13,622,East
2006-03-13,6,Far West
2006-03-13,65,West
2006-03-14,192,Center
2006-03-14,263,East
2006-03-14,43,Far West
2006-03-14,264,West
2006-03-15,473,Center
2006-03-15,119,East
2006-03-15,265,Far West
2006-03-15,25,West
2006-03-16,348,Center
2006-03-16,326,East
2006-03-16,305,Far West
2006-03-16,59,West
2006-03-17,489,Center
2006-03-17,320,East
2006-03-17,118,Far West
2006-03-17,81,West
2006-03-18,215,Center
2006-03-18,149,East
2006-03-18,437,Far West
2006-03-18,45,West
2006-03-19,211,Center
2006-03-19,54,East
2006-03-19,340,Far West
2006-03-19,417,West
2006-03-20,119,Center
2006-03-20,254,East
2006-03-20,309,Far West
2006-03-20,245,West
2006-03-21,161,Center
2006-03-21,466,East
2006-03-21,298,Far West
2006-03-21,3,West
2006-03-22,3,Center
2006-03-22,582,East
2006-03-22,149,Far West
2006-03-22,201,West
2006-03-23,7,Center
2006-03-23,42,East
2006-03-23,129,Far West
2006-03-23,786,West
2006-03-24,439,Center
2006-03-24,243,East
2006-03-24,215,Far West
2006-03-24,104,West
2006-03-25,161,Center
2006-03-25,824,East
2006-03-25,5,Far West
2006-03-25,91,West
2006-03-26,8,Center
2006-03-26,32,East
2006-03-26,181,Far West
2006-03-26,778,West
2006-03-27,296,Center
2006-03-27,296,East
2006-03-27,47,Far West
2006-03-27,251,West
2006-03-28,252,Center
2006-03-28,190,East
2006-03-28,135,Far West
2006-03-28,456,West
2006-03-29,153,Center
2006-03-29,474,East
2006-03-29,81,Far West
2006-03-29,173,West
2006-03-30,324,Center
2006-03-30,129,East
2006-03-30,521,Far West
2006-03-30,42,West
2006-03-31,250,Center
2006-03-31,30,East
2006-03-31,448,Far West
2006-03-31,156,West
2006-04-01,75,Center
2006-04-01,149,East
2006-04-01,904,Far West
2006-04-01,40,West
2006-04-02,58,Center
2006-04-02,643,East
2006-04-02,103,Far West
2006-04-02,165,West
2006-04-03,86,Center
2006-04-03,216,East
2006-04-03,55,Far West
2006-04-03,554,West
2006-04-04,402,Center
2006-04-04,95,East
2006-04-04,181,Far West
2006-04-04,271,West
2006-04-05,505,Center
2006-04-05,82,East
2006-04-05,233,Far West
2006-04-05,299,West
2006-04-06,313,Center
2006-04-06,225,East
2006-04-06,13,Far West
2006-04-06,440,West
2006-04-07,55,Center
2006-04-07,426,East
2006-04-07,498,Far West
2006-04-07,30,West
2006-04-08,111,Center
2006-04-08,77,East
2006-04-08,334,Far West
2006-04-08,405,West
2006-04-09,170,Center
2006-04-09,369,East
2006-04-09,276,Far West
2006-04-09,209,West
2006-04-10,132,Center
2006-04-10,218,East
2006-04-10,14,Far West
2006-04-10,580,West
2006-04-11,295,Center
2006-04-11,177,East
2006-04-11,8,Far West
2006-04-11,559,West
2006-04-12,16,Center
2006-04-12,408,East
2006-04-12,44,Far West
2006-04-12,476,West
2006-04-13,85,Center
2006-04-13,17,East
2006-04-13,676,Far West
2006-04-13,198,West
2006-04-14,402,Center
2006-04-14,12,East
2006-04-14,342,Far West
2006-04-14,226,West
2006-04-15,414,Center
2006-04-15,61,East
2006-04-15,102,Far West
2006-04-15,267,West
2006-04-16,58,Center
2006-04-16,545,East
2006-04-16,169,Far West
2006-04-16,169,West
2006-04-17,63,Center
2006-04-17,53,East
2006-04-17,387,Far West
2006-04-17,395,West
2006-04-18,331,Center
2006-04-18,120,East
2006-04-18,339,Far West
2006-04-18,201,West
2006-04-19,11,Center
2006-04-19,276,East
2006-04-19,446,Far West
2006-04-19,260,West
2006-04-20,308,Center
2006-04-20,150,East
2006-04-20,265,Far West
2006-04-20,28,West
2006-04-21,146,Center
2006-04-21,45,East
2006-04-21,235,Far West
2006-04-21,456,West
2006-04-22,239,Center
2006-04-22,545,East
2006-04-22,53,Far West
2006-04-22,32,West
2006-04-23,467,Center
2006-04-23,50,East
2006-04-23,314,Far West
2006-04-23,152,West
2006-04-24,203,Center
2006-04-24,62,East
2006-04-24,201,Far West
2006-04-24,433,West
2006-04-25,134,Center
2006-04-25,168,East
2006-04-25,12,Far West
2006-04-25,310,West
2006-04-26,124,Center
2006-04-26,291,East
2006-04-26,54,Far West
2006-04-26,480,West
2006-04-27,88,Center
2006-04-27,176,East
2006-04-27,248,Far West
2006-04-27,343,West
2006-04-28,59,Center
2006-04-28,309,East
2006-04-28,160,Far West
2006-04-28,256,West
2006-04-29,64,Center
2006-04-29,311,East
2006-04-29,191,Far West
2006-04-29,336,West
2006-04-30,399,Center
2006-04-30,53,East
2006-04-30,117,Far West
2006-04-30,272,West
2006-05-01,263,Center
2006-05-01,523,East
2006-05-01,34,Far West
2006-05-01,84,West
2006-05-02,187,Center
2006-05-02,234,East
2006-05-02,114,Far West
2006-05-02,370,West
2006-05-03,564,Center
2006-05-03,291,East
2006-05-03,102,Far West
2006-05-03,3,West
2006-05-04,218,Center
2006-05-04,344,East
2006-05-04,44,Far West
2006-05-04,272,West
2006-05-05,81,Center
2006-05-05,97,East
2006-05-05,592,Far West
2006-05-05,106,West
2006-05-06,567,Center
2006-05-06,456,East
2006-05-06,62,Far West
2006-05-06,10,West
2006-05-07,35,Center
2006-05-07,123,East
2006-05-07,464,Far West
2006-05-07,415,West
2006-05-08,526,Center
2006-05-08,41,East
2006-05-08,189,Far West
2006-05-08,66,West
2006-05-09,218,Center
2006-05-09,98,East
2006-05-09,47,Far West
2006-05-09,702,West
2006-05-10,360,Center
2006-05-10,87,East
2006-05-10,180,Far West
2006-05-10,59,West
2006-05-11,225,Center
2006-05-11,298,East
2006-05-11,137,Far West
2006-05-11,355,West
2006-05-12,589,Center
2006-05-12,11,East
2006-05-12,129,Far West
2006-05-12,114,West
2006-05-13,283,Center
2006-05-13,202,East
2006-05-13,69,Far West
2006-05-13,351,West
2006-05-14,317,Center
2006-05-14,93,East
2006-05-14,206,Far West
2006-05-14,496,West
2006-05-15,124,Center
2006-05-15,191,East
2006-05-15,448,Far West
2006-05-15,116,West
2006-05-16,190,Center
2006-05-16,172,East
2006-05-16,629,Far West
2006-05-16,54,West
2006-05-17,126,Center
2006-05-17,638,East
2006-05-17,146,Far West
2006-05-17,42,West
2006-05-18,82,Center
2006-05-18,213,East
2006-05-18,465,Far West
2006-05-18,53,West
2006-05-19,95,Center
2006-05-19,111,East
2006-05-19,594,Far West
2006-05-19,71,West
2006-05-20,2,Center
2006-05-20,280,East
2006-05-20,39,Far West
2006-05-20,570,West
2006-05-21,192,Center
2006-05-21,228,East
2006-05-21,343,Far West
2006-05-21,12,West
2006-05-22,59,Center
2006-05-22,330,East
2006-05-22,73,Far West
2006-05-22,395,West
2006-05-23,485,Center
2006-05-23,209,East
2006-05-23,213,Far West
2006-05-23,3,West
2006-05-24,240,Center
2006-05-24,262,East
2006-05-24,223,Far West
2006-05-24,43,West
2006-05-25,55,Center
2006-05-25,116,East
2006-05-25,207,Far West
2006-05-25,438,West
2006-05-26,272,Center
2006-05-26,264,East
2006-05-26,303,Far West
2006-05-26,135,West
2006-05-27,134,Center
2006-05-27,513,East
2006-05-27,257,Far West
2006-05-27,225,West
2006-05-28,85,Center
2006-05-28,243,East
2006-05-28,267,Far West
2006-05-28,205,West
2006-05-29,174,Center
2006-05-29,576,East
2006-05-29,250,Far West
2006-05-29,4,West
2006-05-30,144,Center
2006-05-30,313,East
2006-05-30,57,Far West
2006-05-30,402,West
2006-05-31,201,Center
2006-05-31,128,East
2006-05-31,485,Far West
2006-05-31,147,West
2006-06-01,579,Center
2006-06-01,100,East
2006-06-01,55,Far West
2006-06-01,132,West
2006-06-02,216,Center
2006-06-02,278,East
2006-06-02,304,Far West
2006-06-02,278,West
2006-06-03,68,Center
2006-06-03,323,East
2006-06-03,225,Far West
2006-06-03,318,West
2006-06-04,40,Center
2006-06-04,46,East
2006-06-04,97,Far West
2006-06-04,796,West
2006-06-05,27,Center
2006-06-05,119,East
2006-06-05,870,Far West
2006-06-05,32,West
2006-06-06,45,Center
2006-06-06,133,East
2006-06-06,400,Far West
2006-06-06,365,West
2006-06-07,69,Center
2006-06-07,510,East
2006-06-07,175,Far West
2006-06-07,283,West
2006-06-08,248,Center
2006-06-08,573,East
2006-06-08,396,Far West
2006-06-08,2,West
2006-06-09,613,Center
2006-06-09,216,East
2006-06-09,22,Far West
2006-06-09,18,West
2006-06-10,240,Center
2006-06-10,10,East
2006-06-10,498,Far West
2006-06-10,102,West
2006-06-11,367,Center
2006-06-11,446,East
2006-06-11,70,Far West
2006-06-11,43,West
2006-06-12,351,Center
2006-06-12,591,East
2006-06-12,27,Far West
2006-06-12,66,West
2006-06-13,473,Center
2006-06-13,202,East
2006-06-13,63,Far West
2006-06-13,74,West
2006-06-14,147,Center
2006-06-14,463,East
2006-06-14,382,Far West
2006-06-14,97,West
2006-06-15,78,Center
2006-06-15,15,East
2006-06-15,125,Far West
2006-06-15,469,West
2006-06-16,0,Center
2006-06-16,493,East
2006-06-16,242,Far West
2006-06-16,312,West
2006-06-17,53,Center
2006-06-17,289,East
2006-06-17,469,Far West
2006-06-17,36,West
2006-06-18,64,Center
2006-06-18,257,East
2006-06-18,154,Far West
2006-06-18,342,West
2006-06-19,523,Center
2006-06-19,278,East
2006-06-19,16,Far West
2006-06-19,57,West
2006-06-20,374,Center
2006-06-20,277,East
2006-06-20,261,Far West
2006-06-20,77,West
2006-06-21,12,Center
2006-06-21,297,East
2006-06-21,477,Far West
2006-06-21,103,West
2006-06-22,198,Center
2006-06-22,305,East
2006-06-22,36,Far West
2006-06-22,322,West
2006-06-23,126,Center
2006-06-23,206,East
2006-06-23,312,Far West
2006-06-23,340,West
2006-06-24,73,Center
2006-06-24,473,East
2006-06-24,11,Far West
2006-06-24,311,West
2006-06-25,165,Center
2006-06-25,745,East
2006-06-25,11,Far West
2006-06-25,59,West
2006-06-26,469,Center
2006-06-26,208,East
2006-06-26,241,Far West
2006-06-26,56,West
2006-06-27,24,Center
2006-06-27,137,East
2006-06-27,77,Far West
2006-06-27,589,West
2006-06-28,20,Center
2006-06-28,251,East
2006-06-28,135,Far West
2006-06-28,475,West
2006-06-29,150,Center
2006-06-29,383,East
2006-06-29,177,Far West
2006-06-29,333,West
2006-06-30,250,Center
2006-06-30,303,East
2006-06-30,289,Far West
2006-06-30,65,West
2006-07-01,126,Center
2006-07-01,215,East
2006-07-01,264,Far West
2006-07-01,306,West
2006-07-02,477,Center
